UserID,ContentType,SportsName,Genre,Country,Language,TotalMins,TotalCNT
193,Sports,Swimming,,Egypt,,45.6,84
175,Sports,Padel,,Saudi Arabia,,46.0,615
102,Sports,Motorsports,,Bahrain,,0.0,2427
158,Entertainment,,Thriller,UAE,Arabic,37.2,255
288,Sports,Swimming,,Qatar,,76.9,111
164,Entertainment,,Drama,UAE,English,9.3,33
160,Entertainment,,Thriller,Kuwait,Arabic,5.1,576
299,Sports,Motorsports,,Qatar,,1.7,1200
204,Sports,Motorsports,,Qatar,,36.7,395
291,Sports,Tennis,,Kuwait,,140.3,1126
148,Entertainment,,Romance,UAE,Arabic,2.3,196
182,Sports,Swimming,,Kuwait,,22.1,164
141,Entertainment,,PG,Kuwait,Arabic,216.7,739
163,Sports,Padel,,UAE,,62.1,780
141,Entertainment,,Comedy,Saudi Arabia,English,20.1,32
137,Sports,Padel,,Egypt,,16.1,411
275,Sports,Cricket,,Kuwait,,64.0,134
127,Sports,Football,,Egypt,,5.9,289
196,Sports,Swimming,,Qatar,,41.4,594
243,Sports,Padel,,UAE,,143.1,456
128,Entertainment,,Action,Egypt,Arabic,5.6,304
184,Sports,Cricket,,Saudi Arabia,,19.6,65
290,Sports,Football,,UAE,,52.2,0
103,Sports,Swimming,,UAE,,38.2,331
272,Entertainment,,Romance,UAE,Arabic,40.8,258
286,Sports,Motorsports,,UAE,,59.6,622
284,Sports,Football,,UAE,,187.8,264
229,Sports,Padel,,Egypt,,37.9,296
168,Entertainment,,Romance,Kuwait,Arabic,65.1,229
298,Entertainment,,Thriller,Qatar,Arabic,90.2,193
193,Sports,Padel,,Egypt,,56.6,8
247,Entertainment,,Comedy,Egypt,Arabic,58.7,244
229,Entertainment,,Horror,Qatar,Arabic,129.3,1049
244,Sports,Tennis,,Iraq,,36.3,151
240,Entertainment,,PG,Saudi Arabia,English,20.7,214
231,Entertainment,,Comedy,Saudi Arabia,Turkish,51.4,43
266,Sports,Motorsports,,Egypt,,23.3,1407
246,Entertainment,,Thriller,Qatar,English,52.8,126
133,Entertainment,,Thriller,Qatar,English,52.4,945
133,Entertainment,,Comedy,Qatar,English,14.4,445
151,Entertainment,,Thriller,Saudi Arabia,English,21.5,517
297,Entertainment,,Comedy,Egypt,Arabic,1.2,518
258,Sports,Basketball,,UAE,,107.5,688
193,Entertainment,,Drama,Egypt,English,196.4,39
260,Sports,Swimming,,UAE,,33.2,233
154,Sports,Tennis,,Bahrain,,3.7,117
251,Entertainment,,Action,UAE,Arabic,19.5,944
276,Sports,Swimming,,UAE,,82.9,830
