UserID,SportsName,ContentType,Genre,Country,Language,TotalMins,TotalCNT
152,,Entertainment,PG,Jordan,English,29.5,52
175,,Entertainment,Horror,Saudi Arabia,Arabic,175.2,893
138,,Entertainment,Drama,UAE,Arabic,37.2,282
149,Motorsports,Sports,,Egypt,,182.0,132
162,Swimming,Sports,,Saudi Arabia,,204.4,314
151,,Entertainment,Action,Kuwait,Hindi,168.5,826
109,Motorsports,Sports,,UAE,,29.0,65
108,,Entertainment,Comedy,UAE,Arabic,70.4,276
154,Swimming,Sports,,Egypt,,92.3,298
174,,Entertainment,Romance,Bahrain,Arabic,10.9,23
140,,Entertainment,Romance,Saudi Arabia,Turkish,22.1,164
141,Football,Sports,,Qatar,,216.7,739
108,,Entertainment,Drama,UAE,English,78.1,465
141,,Entertainment,Comedy,Bahrain,Arabic,3.3,186
188,,Entertainment,Thriller,Kuwait,French,32.0,63
178,,Entertainment,Romance,Saudi Arabia,Turkish,34.0,369
115,Padel,Sports,,UAE,,1.6,505
152,,Entertainment,PG,Egypt,Arabic,26.4,704
136,,Entertainment,Horror,Jordan,Arabic,132.7,825
157,,Entertainment,Comedy,UAE,Arabic,111.5,387
192,,Entertainment,Drama,Qatar,Arabic,27.9,851
103,,Entertainment,Drama,UAE,English,59.0,156
124,Football,Sports,,Jordan,,25.9,33
158,Tennis,Sports,,Jordan,,62.3,80
156,,Entertainment,Action,UAE,English,1.7,211
101,Motorsports,Sports,,UAE,,29.7,402
168,Football,Sports,,UAE,,65.1,229
198,,Entertainment,Drama,Kuwait,Arabic,35.5,595
103,,Entertainment,Horror,Egypt,English,82.9,214
171,,Entertainment,Romance,UAE,Hindi,7.4,208
189,,Entertainment,Action,UAE,Arabic,53.9,849
160,,Entertainment,Thriller,Qatar,French,115.3,501
109,,Entertainment,Horror,Qatar,French,25.9,1093
175,,Entertainment,Comedy,Bahrain,English,23.3,1407
125,Tennis,Sports,,UAE,,33.2,297
161,,Entertainment,Drama,UAE,English,9.9,228
108,,Entertainment,Drama,Saudi Arabia,English,35.5,505
122,,Entertainment,PG,UAE,English,118.3,284
121,,Entertainment,Drama,Egypt,Arabic,64.1,164
135,Motorsports,Sports,,Saudi Arabia,,141.1,1538
106,Basketball,Sports,,Qatar,,27.9,1700
199,Basketball,Sports,,Jordan,,24.3,952
167,,Entertainment,Romance,UAE,Turkish,133.0,36
132,Swimming,Sports,,Kuwait,,36.5,1049
